%time,field
199801000000,-1384.0
199812000000,-1384.0
199825000000,-1384.0
199837000000,-1384.0
199850000000,-1384.0
199862000000,-1384.0
199875000000,-1384.0
199887000000,-1384.0
199900000000,-1384.0
199912000000,-1384.0
199925000000,-1384.0
199937000000,-1384.0
199950000000,-1384.0
199962000000,-1384.0
199975000000,-1384.0
199987000000,-1384.0
200000000000,-1384.0
200012000000,-1384.0
200024000000,-1384.0
200037000000,-1384.0
200050000000,-1384.0
200062000000,-1384.0
200075000000,-1384.0
200087000000,-1384.0
200099000000,-1384.0
200112000000,-1384.0
200124000000,-1384.0
200137000000,-1384.0
200149000000,-1384.0
200162000000,-1384.0
200174000000,-1384.0
200187000000,-1384.0
200199000000,-1384.0
200212000000,-1384.0
200224000000,-1384.0
200237000000,-1384.0
200249000000,-1384.0
200262000000,-1384.0
200274000000,-1384.0
200287000000,-1384.0
200298000000,-1384.0
200311000000,-1384.0
200323000000,-1384.0
200336000000,-1384.0
200348000000,-1384.0
200361000000,-1384.0
200373000000,-1384.0
200386000000,-1384.0
200398000000,-1384.0
200411000000,-1384.0
200423000000,-1384.0
200436000000,-1384.0
200448000000,-1384.0
200461000000,-1384.0
200473000000,-1384.0
200486000000,-1384.0
200498000000,-1384.0
200511000000,-1384.0
200523000000,-1384.0
200536000000,-1384.0
200548000000,-1384.0
200561000000,-1384.0
200573000000,-1384.0
200586000000,-1384.0
200598000000,-1384.0
200611000000,-1384.0
200622000000,-1384.0
200635000000,-1384.0
200647000000,-1384.0
200660000000,-1384.0
200672000000,-1384.0
200685000000,-1384.0
200697000000,-1384.0
200710000000,-1384.0
200722000000,-1384.0
200735000000,-1384.0
200747000000,-1384.0
200760000000,-1384.0
200773000000,-1384.0
200785000000,-1384.0
200797000000,-1384.0
200810000000,-1384.0
200822000000,-1384.0
200835000000,-1384.0
200847000000,-1384.0
200860000000,-1384.0
200872000000,-1384.0
200884000000,-1384.0
200897000000,-1384.0
200909000000,-1384.0
200922000000,-1384.0
200934000000,-1384.0
200947000000,-1384.0
200959000000,-1384.0
200972000000,-1384.0
200984000000,-1384.0
200997000000,-1384.0
201009000000,-1384.0
201022000000,-1384.0
201034000000,-1384.0
201047000000,-1384.0
201059000000,-1384.0
201072000000,-1384.0
201084000000,-1384.0
201097000000,-1384.0
201109000000,-1384.0
201122000000,-1384.0
201133000000,-1384.0
201146000000,-1384.0
201159000000,-1384.0
201171000000,-1384.0
201183000000,-1384.0
201196000000,-1384.0
201208000000,-1384.0
201221000000,-1384.0
201233000000,-1384.0
201246000000,-1384.0
201258000000,-1384.0
201271000000,-1384.0
201283000000,-1384.0
201296000000,-1384.0
201308000000,-1384.0
201321000000,-1384.0
201333000000,-1384.0
201346000000,-1384.0
201358000000,-1384.0
201371000000,-1384.0
201383000000,-1384.0
201396000000,-1384.0
201408000000,-1384.0
201421000000,-1384.0
201433000000,-1384.0
201446000000,-1384.0
201458000000,-1384.0
201471000000,-1372.0
201483000000,-1244.0
201496000000,-1121.0
201506000000,-1013.0
201516000000,-918.0
201527000000,-840.0
201537000000,-775.0
201548000000,-721.0
201558000000,-676.0
201569000000,-645.0
201579000000,-623.0
201589000000,-608.0
201600000000,-587.0
201610000000,-586.0
201621000000,-592.0
201631000000,-611.0
201642000000,-650.0
201652000000,-679.0
201662000000,-708.0
201673000000,-741.0
201683000000,-785.0
201693000000,-825.0
201704000000,-872.0
201714000000,-926.0
201726000000,-981.0
201738000000,-1044.0
201751000000,-1117.0
201763000000,-1197.0
201776000000,-1261.0
201788000000,-1325.0
201801000000,-1393.0
201813000000,-1458.0
201826000000,-1520.0
201838000000,-1574.0
201851000000,-1619.0
201863000000,-1657.0
201876000000,-1682.0
201887000000,-1698.0
201900000000,-1703.0
201912000000,-1701.0
201925000000,-1692.0
201937000000,-1679.0
201950000000,-1662.0
201962000000,-1641.0
201975000000,-1619.0
201987000000,-1595.0
202000000000,-1570.0
202012000000,-1546.0
202025000000,-1522.0
202037000000,-1500.0
202050000000,-1481.0
202062000000,-1463.0
202075000000,-1448.0
202087000000,-1435.0
202100000000,-1427.0
202112000000,-1422.0
202125000000,-1420.0
202137000000,-1420.0
202150000000,-1420.0
202162000000,-1420.0
202175000000,-1422.0
202187000000,-1423.0
202199000000,-1424.0
202212000000,-1424.0
202224000000,-1424.0
202237000000,-1424.0
202249000000,-1424.0
202262000000,-1424.0
202274000000,-1424.0
202287000000,-1424.0
202299000000,-1424.0
202312000000,-1424.0
202324000000,-1424.0
202337000000,-1424.0
202348000000,-1424.0
202361000000,-1424.0
202373000000,-1424.0
202386000000,-1424.0
202398000000,-1424.0
202411000000,-1424.0
202423000000,-1424.0
202437000000,-1424.0
202448000000,-1424.0
202461000000,-1424.0
202474000000,-1424.0
202487000000,-1424.0
202498000000,-1424.0
202511000000,-1424.0
202523000000,-1424.0
202536000000,-1424.0
202548000000,-1424.0
202561000000,-1424.0
202573000000,-1424.0
202586000000,-1424.0
202598000000,-1424.0
202611000000,-1424.0
202623000000,-1424.0
202636000000,-1424.0
202648000000,-1424.0
202661000000,-1424.0
202673000000,-1424.0
202686000000,-1424.0
202698000000,-1424.0
202711000000,-1424.0
202723000000,-1424.0
202736000000,-1424.0
202747000000,-1424.0
202761000000,-1424.0
202773000000,-1424.0
202785000000,-1424.0
202797000000,-1424.0
202810000000,-1424.0
202822000000,-1424.0
202836000000,-1424.0
202847000000,-1424.0
202860000000,-1424.0
202872000000,-1424.0
202885000000,-1424.0
202897000000,-1424.0
202909000000,-1424.0
202922000000,-1424.0
202934000000,-1424.0
202947000000,-1424.0
202959000000,-1424.0
202972000000,-1424.0
202984000000,-1424.0
202997000000,-1424.0
203009000000,-1424.0
203022000000,-1424.0
203034000000,-1424.0
203047000000,-1424.0
203059000000,-1424.0
203072000000,-1424.0
203084000000,-1424.0
203097000000,-1424.0
203109000000,-1424.0
203122000000,-1424.0
203134000000,-1424.0
203147000000,-1424.0
203159000000,-1424.0
203172000000,-1424.0
203184000000,-1424.0
203197000000,-1424.0
203208000000,-1424.0
203221000000,-1424.0
203233000000,-1424.0
203246000000,-1424.0
203258000000,-1424.0
203271000000,-1424.0
203283000000,-1424.0
203296000000,-1424.0
203308000000,-1424.0
203321000000,-1424.0
203333000000,-1424.0
